FINAL_BOARD,RESULT,X_LONGEST_PATH,O_LONGEST_PATH,X_LONGEST_N1,X_LONGEST_N2,X_LONGEST_N3,X_LONGEST_N4,O_LONGEST_N1,O_LONGEST_N2,O_LONGEST_N3,O_LONGEST_N4
390067336886591,0.5,12,12,3,7,3,1,1,7,5,0
446075698598549,0.5,8,8,2,2,4,0,3,6,1,0
461052243500211,0.0,14,15,0,11,4,0,3,7,5,1
79665621760925,1.0,15,9,3,9,5,0,1,5,3,1
58209146851535,1.0,12,9,5,3,5,2,4,5,2,0
63716607490220,1.0,14,9,3,7,7,0,4,5,2,0
241051403820346,0.0,11,12,1,4,5,1,6,7,4,1
111669685102767,0.0,10,11,3,5,3,0,3,7,3,0
361320586638942,0.0,9,11,4,2,4,1,2,7,4,0
203299377336138,0.5,7,7,4,3,2,1,2,5,0,0
372722022605356,1.0,16,10,5,9,5,0,3,6,1,2
30564827149430,1.0,13,7,2,9,2,0,2,3,2,1
63201572402790,0.0,8,10,2,3,2,1,1,8,1,0
411091033592792,1.0,18,9,1,11,5,1,2,5,2,1
209422726526305,0.0,9,19,1,5,3,0,4,10,8,0
122531825131955,0.0,9,10,5,5,3,0,2,7,2,1
233592764557549,1.0,12,8,4,10,2,0,4,3,4,0
450077372101250,1.0,10,9,5,7,3,2,4,3,4,0
339568456418274,0.0,14,15,5,8,3,2,6,7,6,1
383668244465196,1.0,13,8,4,4,8,0,2,5,2,0
328782730408622,0.0,6,11,4,2,2,0,7,7,3,1
306753102481234,1.0,14,7,4,8,4,0,3,4,1,0
443876136552968,1.0,21,9,2,11,6,3,2,5,2,0
233030797834756,1.0,16,6,3,9,7,0,0,4,2,0
346247635274220,1.0,13,10,3,7,3,2,3,6,3,0
410302944884892,1.0,9,7,4,6,2,0,3,4,1,0
507460853145930,1.0,13,10,3,6,3,2,2,6,2,0
176778598067443,1.0,12,6,2,10,0,0,0,4,2,0
258337244081440,1.0,11,9,4,6,4,2,3,7,1,0
516222514389631,0.0,10,18,4,6,2,0,6,12,6,0
192030631159853,0.5,9,9,4,4,4,0,6,2,4,1
224117216977364,1.0,15,5,4,10,2,1,4,1,2,0
281346428175661,0.0,10,15,3,3,5,1,5,8,5,0
348641541957180,1.0,14,9,2,7,6,0,1,5,3,0
444162721489297,1.0,13,11,3,9,3,1,4,5,4,1
126309740937595,1.0,13,8,1,7,5,1,1,4,3,0
200296859071180,0.0,7,11,2,3,2,0,3,7,3,0
218283072829363,0.0,6,7,1,4,1,0,1,3,3,0
48159958864101,1.0,12,8,4,8,2,1,2,3,2,1
426310991755931,0.5,7,7,1,5,1,0,3,3,1,1
462015893730054,1.0,13,8,0,9,4,0,2,3,4,0
485155899906827,0.0,7,11,2,5,0,0,3,6,3,0
12642997001096,1.0,16,6,5,8,5,2,4,2,2,0
277426385668889,0.5,6,6,4,2,2,0,2,2,2,0
340008567593262,0.0,10,12,4,3,6,0,2,8,2,1
347216123833168,1.0,12,11,4,10,4,0,3,8,1,0
114228600096980,1.0,13,12,2,6,2,4,4,7,2,1
274904441704436,0.0,9,17,3,6,1,0,2,10,6,0
274354142803398,0.0,14,17,2,6,8,0,5,6,7,2
346156302491691,1.0,11,10,4,5,2,2,5,4,3,2
174546548226354,0.0,12,16,4,5,6,0,1,8,7,0
158490196343381,1.0,13,8,7,3,9,0,3,3,3,0
534693427239453,1.0,12,9,3,8,3,0,2,7,0,0
558951632869205,1.0,9,8,3,5,3,0,4,2,4,0
153199531047351,0.0,6,10,2,2,2,0,3,7,1,0
251916104648793,1.0,12,7,4,6,4,0,2,4,0,2
179292258802637,0.0,11,13,3,5,5,0,5,9,3,0
65672556080038,1.0,13,10,2,9,4,0,6,7,4,0
362096273115824,1.0,11,6,4,7,2,1,3,3,1,0
185028230211377,1.0,14,11,4,6,6,1,5,3,5,1
258885617445683,1.0,15,9,5,12,3,1,2,4,2,2
546485286459505,1.0,17,13,8,7,8,1,3,5,5,1
100574407270543,0.0,12,13,1,7,3,2,4,6,4,2
159303383620284,1.0,16,4,3,9,5,1,3,1,1,0
414622574929297,0.0,7,8,2,5,0,0,3,5,1,0
384076878725961,0.0,7,10,3,3,3,0,2,6,2,0
370457156583929,1.0,11,9,3,4,5,1,2,5,2,0
148040666952915,0.0,7,13,2,4,2,1,3,10,1,0
397442499982407,1.0,12,9,5,5,5,1,2,5,2,0
392282636660264,1.0,13,6,4,11,4,0,1,4,1,0
57556417175212,0.0,12,14,3,7,5,0,2,5,6,1
313814566585819,1.0,11,7,3,8,1,0,4,3,2,1
435883866482385,0.0,10,11,1,6,3,1,4,4,4,1
502668139925535,0.5,7,7,3,2,3,1,2,5,0,0
374706755888045,0.0,7,13,4,2,2,1,5,6,5,0
177258252406503,1.0,13,9,5,7,5,1,3,6,1,0
367789410842023,0.0,7,8,6,2,2,1,2,8,0,1
514331881167541,0.0,7,13,1,3,3,0,4,7,6,0
182345483700664,1.0,12,8,4,4,6,1,3,4,3,0
134050255890222,0.5,12,12,1,8,3,0,2,6,4,1
134188462561875,0.0,8,9,4,4,2,1,2,5,2,0
14121076910259,1.0,14,8,2,10,2,2,1,6,1,0
532756017302436,1.0,8,6,2,2,4,0,2,4,0,0
316546933604447,0.0,15,17,3,5,7,1,5,7,9,0
539256119968025,0.0,9,11,3,6,1,0,2,7,4,0
343338941181851,0.0,12,18,1,8,3,0,3,16,3,1
175458392826077,0.0,5,15,2,3,0,0,5,9,5,1
64943044860147,0.0,11,13,3,4,5,1,5,12,3,1
379152296972051,1.0,10,4,4,7,2,0,0,4,0,0
523598171877997,0.0,7,10,2,3,2,0,2,3,4,1
508280946516891,0.0,9,11,2,5,2,0,2,4,4,1
414458324159569,1.0,15,6,3,8,5,2,2,3,2,0
128939810772679,1.0,13,10,5,6,5,0,4,6,2,0
510770320015391,1.0,13,12,3,8,3,0,2,7,4,0
117564554197440,0.0,7,8,1,3,3,0,3,3,3,0
309702667120560,1.0,9,7,4,4,4,0,3,4,1,0
362076971498166,0.0,6,11,2,2,2,0,3,7,3,0
376932156452705,1.0,9,5,4,5,2,0,3,2,1,0
137793146049352,1.0,13,7,7,8,7,0,3,4,1,0
447246215240067,0.5,11,11,5,9,3,0,2,7,2,0
67993175262005,1.0,19,7,4,12,6,0,3,4,1,0
94238447842517,0.0,5,7,3,2,1,0,3,3,3,0
362799026080945,1.0,14,10,7,10,5,0,2,5,4,0
87146089456636,1.0,10,8,3,7,1,0,2,4,2,0
54835349344986,1.0,8,5,2,5,2,0,2,3,0,0
433363863121843,1.0,13,10,3,9,3,2,2,4,4,1
546265368285395,0.0,8,16,3,3,3,0,3,12,1,1
426861592798164,0.5,15,15,3,6,7,0,4,10,4,1
52054349894778,0.5,9,9,4,4,2,1,6,5,4,0
184372605640773,0.0,11,15,4,4,2,4,5,7,5,2
176243442603917,1.0,14,7,7,8,5,2,2,5,0,0
456476053965971,0.5,7,7,3,5,1,0,2,3,2,0
330056479982316,1.0,9,7,2,5,2,0,2,3,2,0
105014021722518,0.0,5,6,1,3,1,0,4,2,2,0
430850568124469,0.0,10,14,2,4,4,1,8,3,8,2
